 2017-02-15 14:06:37,120 [P10804/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.6 application starting on SEBA-HP
 2017-02-15 14:06:37,427 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-02-15 14:06:37,469 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 42ms)
 2017-02-15 14:06:38,391 [P10804/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-02-15 14:06:38,392 [P10804/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-02-15 14:06:38,397 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-02-15 14:06:39,052 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 654ms)
 2017-02-15 14:06:39,510 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-02-15 14:06:39,512 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2017-02-15 14:06:39,513 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-02-15 14:06:39,516 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 2ms)
 2017-02-15 14:06:39,540 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-02-15 14:06:40,062 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 522ms)
 2017-02-15 14:06:40,064 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-02-15 14:06:40,220 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 156ms)
 2017-02-15 14:06:40,611 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-02-15 14:06:40,612 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 1ms)
 2017-02-15 14:06:40,613 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-02-15 14:06:40,613 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2017-02-15 14:06:43,770 [P10804/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-15 14:06:45,027 [P10804/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-15 14:06:45,704 [P10804/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-02-15 14:06:45,754 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-02-15 14:06:45,758 [P10804/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 3ms)
 2017-02-15 14:06:46,291 [P10804/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-02-15 14:06:46,601 [P10804/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-02-15 14:06:46,670 [P10804/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-15 14:06:47,309 [P10804/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 10427ms)
 2017-02-15 14:06:52,272 [P10804/D2/T11] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:51959/umbraco (UmbracoModule request)
 2017-02-15 14:07:31,994 [P10804/D2/T11] INFO  umbraco.content - Load Xml from file...
 2017-02-15 14:07:32,049 [P10804/D2/T11] INFO  umbraco.content - Loaded Xml from file.
 2017-02-15 14:07:33,725 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-02-15 14:07:33,728 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2017-02-15 14:07:37,231 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-02-15 14:07:37,232 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 0ms)
 2017-02-15 14:07:37,268 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2017-02-15 14:07:37,269 [P10804/D2/T11] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 1ms)
 2017-02-15 14:07:41,326 [P10804/D2/T16] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2017-02-15 14:08:32,192 [P10804/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-02-14 14:08:32
 2017-02-15 19:14:37,756 [P10804/D2/T29] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2017-02-14 19:14:37
